Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr15:75995937-75996437,chr15,75995937,75996437,7.48405E-12,"PTPN9, SNUPN, SNX33, CSPG4, FBXO22",5,orangered3
chr14:94141944-94142444,chr14,94141944,94142444,7.54545E-12,"BTBD7, OTUB2",2,orangered3
chr3:131714670-131715170,chr3,131714670,131715170,7.6403E-12,CPNE4,1,orangered3
chr18:56246270-56246770,chr18,56246270,56246770,8.21924E-12,ALPK2,1,orangered3
chr21:47480513-47481013,chr21,47480513,47481013,8.47537E-12,"COL6A1, COL6A2",2,orangered3
chr3:306281-306781,chr3,306281,306781,8.57355E-12,"CHL1, CHL1-AS2",2,orangered3
chr5:77189249-77189749,chr5,77189249,77189749,8.58611E-12,OTP,1,orangered3
chr13:81043966-81044466,chr13,81043966,81044466,8.72517E-12,SPRY2,1,orangered3
chr14:101213328-101213828,chr14,101213328,101213828,8.85894E-12,MEG9,1,orangered3
chr2:98487824-98488324,chr2,98487824,98488324,8.95489E-12,TMEM131,1,orangered3
chr2:65804008-65804508,chr2,65804008,65804508,9.04368E-12,SPRED2,1,orangered3
chr16:57798103-57798603,chr16,57798103,57798603,9.56983E-12,KIFC3,1,orangered3
chr7:121170379-121170879,chr7,121170379,121170879,9.77589E-12,FAM3C,1,orangered3
chr9:126895159-126895659,chr9,126895159,126895659,9.82378E-12,NEK6,1,orangered3
chr5:140098358-140098858,chr5,140098358,140098858,9.84076E-12,VTRNA1-2,1,orangered3
chr19:14495027-14495527,chr19,14495027,14495527,1.00877E-11,ADGRE5,1,orangered3
chr2:102844103-102844603,chr2,102844103,102844603,1.02558E-11,IL1R1,1,orangered3
chr13:21643585-21644085,chr13,21643585,21644085,1.04589E-11,LATS2,1,orangered3
chr2:27233566-27234066,chr2,27233566,27234066,1.0473E-11,"TMEM214, EMILIN1",2,orangered3
chr15:102119944-102120444,chr15,102119944,102120444,1.09615E-11,CHSY1,1,orangered3
chr20:30283906-30284406,chr20,30283906,30284406,1.0963E-11,TM9SF4,1,orangered3
chr18:77770193-77770693,chr18,77770193,77770693,1.11662E-11,KCNG2,1,orangered3
chr17:40672080-40672580,chr17,40672080,40672580,1.12537E-11,"STAT3, CAVIN1",2,orangered3
chr8:13326647-13327147,chr8,13326647,13327147,1.16203E-11,C8orf48,1,orangered3
chr6:29764919-29765419,chr6,29764919,29765419,1.17873E-11,"HLA-G, HLA-J",2,orangered3
chr19:48829112-48829612,chr19,48829112,48829612,1.20316E-11,"EMP3, KDELR1, GRWD1",3,orangered3
chr14:95363414-95363914,chr14,95363414,95363914,1.21911E-11,GSC,1,orangered3
chr15:52395615-52396115,chr15,52395615,52396115,1.26368E-11,TMOD3,1,orangered3
chr9:127337061-127337561,chr9,127337061,127337561,1.26635E-11,NEK6,1,orangered3
chr14:77370506-77371006,chr14,77370506,77371006,1.28654E-11,IRF2BPL,1,orangered3
chr13:114477118-114477618,chr13,114477118,114477618,1.32166E-11,"TMCO3, GAS6-DT",2,orangered3
chr6:11354260-11354760,chr6,11354260,11354760,1.36244E-11,NEDD9,1,orangered3
chr9:118135574-118136074,chr9,118135574,118136074,1.36445E-11,TNC,1,orangered3
chr2:109278576-109279076,chr2,109278576,109279076,1.42787E-11,"LIMS1, SH3RF3",2,orangered3
chr3:171858253-171858753,chr3,171858253,171858753,1.44843E-11,FNDC3B,1,orangered3
chr20:33698839-33699339,chr20,33698839,33699339,1.49066E-11,"CEP250, FER1L4",2,orangered3
chr17:76377709-76378209,chr17,76377709,76378209,1.49866E-11,SOCS3,1,orangered3
chr16:16113352-16113852,chr16,16113352,16113852,1.52642E-11,ABCC1,1,orangered3
chr19:39174282-39174782,chr19,39174282,39174782,1.53019E-11,"YIF1B, PSMD8, GGN, SPRED3, ECH1, MRPS12, PAK4",7,orangered3
chr14:50923941-50924441,chr14,50923941,50924441,1.69844E-11,PYGL,1,orangered3
chr1:9536862-9537362,chr1,9536862,9537362,1.75151E-11,PIK3CD-AS2,1,orangered3
chr8:23268916-23269416,chr8,23268916,23269416,1.79618E-11,LOXL2,1,orangered3
chr17:41244884-41245384,chr17,41244884,41245384,1.84298E-11,ETV4,1,orangered3
chr9:127594893-127595393,chr9,127594893,127595393,1.86081E-11,HSPA5,1,orangered3
chr14:71830852-71831352,chr14,71830852,71831352,1.86535E-11,SIPA1L1,1,orangered3
chr1:20437105-20437605,chr1,20437105,20437605,1.89575E-11,MUL1,1,orangered3
chr19:44269323-44269823,chr19,44269323,44269823,1.91794E-11,PLAUR,1,orangered3
chr10:88677851-88678351,chr10,88677851,88678351,1.93057E-11,BMPR1A,1,orangered3
chr10:75758966-75759466,chr10,75758966,75759466,1.97935E-11,"FUT11, PLAU, C10orf55, VCL",4,orangered3
chr1:2222022-2222522,chr1,2222022,2222522,2.03659E-11,SKI,1,orangered3
chr9:4302059-4302559,chr9,4302059,4302559,2.1033E-11,GLIS3,1,orangered3
chr2:42161028-42161528,chr2,42161028,42161528,2.11303E-11,LINC01914,1,orangered3
chr14:101227767-101228267,chr14,101227767,101228267,2.14577E-11,MEG9,1,orangered3
chr5:114797101-114797601,chr5,114797101,114797601,2.16323E-11,"PGGT1B, FEM1C",2,orangered3
chr2:68224531-68225031,chr2,68224531,68225031,2.21077E-11,LINC01812,1,orangered3
chr13:111049160-111049660,chr13,111049160,111049660,2.23351E-11,"RAB20, ING1",2,orangered3
chr2:12689740-12690240,chr2,12689740,12690240,2.27732E-11,"TRIB2, LOC100506474",2,orangered3
chr2:172081704-172082204,chr2,172081704,172082204,2.37226E-11,TLK1,1,orangered3
chr13:101527974-101528474,chr13,101527974,101528474,2.38132E-11,GGACT,1,orangered3
chr4:114397824-114398324,chr4,114397824,114398324,2.4121E-11,CAMK2D,1,orangered3
chr13:49392512-49393012,chr13,49392512,49393012,2.439E-11,FNDC3A,1,orangered3
chr6:5094561-5095061,chr6,5094561,5095061,2.45644E-11,PPP1R3G,1,orangered3
chr13:114890296-114890796,chr13,114890296,114890796,2.46596E-11,"LINC00565, RASA3",2,orangered3
chr8:8932260-8932760,chr8,8932260,8932760,2.48778E-11,PPP1R3B,1,orangered3
chr9:90328296-90328796,chr9,90328296,90328796,2.53832E-11,CTSL,1,orangered3
chr5:150153590-150154090,chr5,150153590,150154090,2.55185E-11,"IRGM, GPX3",2,orangered3
chr14:55569812-55570312,chr14,55569812,55570312,2.55904E-11,"MAPK1IP1L, LGALS3, FBXO34, KTN1-AS1",4,orangered3
chr17:40819409-40819909,chr17,40819409,40819909,2.63751E-11,STAT3,1,orangered3
chr5:170024087-170024587,chr5,170024087,170024587,2.67416E-11,KCNIP1,1,orangered3
chr3:194314064-194314564,chr3,194314064,194314564,2.68368E-11,HES1,1,orangered3
chr5:31988340-31988840,chr5,31988340,31988840,2.68958E-11,PDZD2,1,orangered3
chr16:20877403-20877903,chr16,20877403,20877903,2.69881E-11,TMEM159,1,orangered3
chr2:87755829-87756329,chr2,87755829,87756329,2.70672E-11,"CYTOR, LOC730268",2,orangered3
chr1:7177720-7178220,chr1,7177720,7178220,2.79589E-11,THAP3,1,orangered3
chr16:57563867-57564367,chr16,57563867,57564367,2.79885E-11,"RSPRY1, ARL2BP, KIFC3",3,orangered3
chr12:121474430-121474930,chr12,121474430,121474930,2.82176E-11,MLEC,1,orangered3
chr14:69014801-69015301,chr14,69014801,69015301,2.86558E-11,ACTN1,1,orangered3
chr19:2168855-2169355,chr19,2168855,2169355,2.9301E-11,"ATP8B3, MKNK2, GADD45B",3,orangered3
chr19:33963833-33964333,chr19,33963833,33964333,2.97179E-11,"GPATCH1, LRP3, CHST8, KCTD15",4,orangered3
chr16:29478935-29479435,chr16,29478935,29479435,2.98951E-11,LOC388242,1,orangered3
chr5:150169740-150170240,chr5,150169740,150170240,2.99108E-11,"GPX3, TNIP1",2,orangered3
chr4:109267284-109267784,chr4,109267284,109267784,2.99457E-11,LEF1,1,orangered3
chr22:31202380-31202880,chr22,31202380,31202880,3.03615E-11,SLC35E4,1,orangered3
chr18:3511949-3512449,chr18,3511949,3512449,3.13206E-11,MYL12B,1,orangered3
chr19:18496716-18497216,chr19,18496716,18497216,3.23956E-11,"GDF15, MIR3189",2,orangered3
chr6:52382281-52382781,chr6,52382281,52382781,3.25074E-11,TRAM2,1,orangered3
chr7:2155620-2156120,chr7,2155620,2156120,3.47892E-11,ELFN1,1,orangered3
chr8:8502848-8503348,chr8,8502848,8503348,3.49206E-11,ERI1,1,orangered3
chr20:32978608-32979108,chr20,32978608,32979108,3.55932E-11,AHCY,1,orangered3
chr15:89645082-89645582,chr15,89645082,89645582,3.58211E-11,"HAPLN3, ABHD2",2,orangered3
chr10:75668659-75669159,chr10,75668659,75669159,3.5982E-11,"PLAU, C10orf55",2,orangered3
chr17:13265996-13266496,chr17,13265996,13266496,3.77861E-11,HS3ST3A1,1,orangered3
chr15:90944034-90944534,chr15,90944034,90944534,3.9328E-11,SEMA4B,1,orangered3
chr4:57931248-57931748,chr4,57931248,57931748,3.93311E-11,REST,1,orangered3
chr2:161064551-161065051,chr2,161064551,161065051,4.00338E-11,RBMS1,1,orangered3
chr6:153379409-153379909,chr6,153379409,153379909,4.04547E-11,RGS17,1,orangered3
chr13:48733524-48734024,chr13,48733524,48734024,4.25186E-11,RB1,1,orangered3
chr17:983902-984402,chr17,983902,984402,4.25228E-11,"TLCD3A, TIMM22, CRK",3,orangered3
chr20:61185105-61185605,chr20,61185105,61185605,4.27824E-11,"LAMA5-AS1, LAMA5, SLCO4A1",3,orangered3
chr12:26306238-26306738,chr12,26306238,26306738,4.37843E-11,RASSF8,1,orangered3
chr2:216529461-216529961,chr2,216529461,216529961,4.3937E-11,MREG,1,orangered3
chr17:40670389-40670889,chr17,40670389,40670889,4.39946E-11,STAT3,1,orangered3
chr5:135389251-135389751,chr5,135389251,135389751,4.4139E-11,TGFBI,1,orangered3
chr18:703027-703527,chr18,703027,703527,4.42491E-11,COLEC12,1,orangered3
chr8:23005816-23006316,chr8,23005816,23006316,4.43664E-11,"TNFRSF10B, LOC389641, LOXL2",3,orangered3
chr14:68146763-68147263,chr14,68146763,68147263,4.4825E-11,PIGH,1,orangered3
chr1:23912062-23912562,chr1,23912062,23912562,4.50874E-11,ZNF436,1,orangered3
chr3:184283455-184283955,chr3,184283455,184283955,4.66688E-11,"AP2M1, EPHB3",2,orangered3
chr22:29427248-29427748,chr22,29427248,29427748,5.02095E-11,ZNRF3-AS1,1,orangered3
chr8:81776978-81777478,chr8,81776978,81777478,5.13645E-11,PAG1,1,orangered3
chr19:45106479-45106979,chr19,45106479,45106979,5.17174E-11,BCL3,1,orangered3
chr2:28806745-28807245,chr2,28806745,28807245,5.2003E-11,FOSL2,1,orangered3
chr7:1068385-1068885,chr7,1068385,1068885,5.21766E-11,C7orf50,1,orangered3
chr15:101564208-101564708,chr15,101564208,101564708,5.23113E-11,CHSY1,1,orangered3
chr20:57638719-57639219,chr20,57638719,57639219,5.51344E-11,GNAS-AS1,1,orangered3
chr17:27567946-27568446,chr17,27567946,27568446,5.64641E-11,"PIPOX, NUFIP2",2,orangered3
chr9:102195771-102196271,chr9,102195771,102196271,5.67004E-11,ALG2,1,orangered3
chr1:15294903-15295403,chr1,15294903,15295403,5.71027E-11,TMEM51-AS1,1,orangered3
chr16:67891613-67892113,chr16,67891613,67892113,5.74784E-11,SLC12A4,1,orangered3
chr12:12992830-12993330,chr12,12992830,12993330,6.01559E-11,"GPRC5A, EMP1",2,orangered3
chr14:61994384-61994884,chr14,61994384,61994884,6.06495E-11,HIF1A,1,orangered3
chr1:27175702-27176202,chr1,27175702,27176202,6.07027E-11,DHDDS,1,orangered3
chr14:68132566-68133066,chr14,68132566,68133066,6.09333E-11,PIGH,1,orangered3
chr12:32268567-32269067,chr12,32268567,32269067,6.22851E-11,BICD1,1,orangered3
chr22:40635018-40635518,chr22,40635018,40635518,6.24876E-11,MCHR1,1,orangered3
chr17:40517057-40517557,chr17,40517057,40517557,6.28371E-11,STAT3,1,orangered3
chr16:88632494-88632994,chr16,88632494,88632994,6.54301E-11,"ZFPM1, GALNS",2,orangered3
chr7:2059428-2059928,chr7,2059428,2059928,6.64891E-11,ELFN1,1,orangered3
chr2:101737014-101737514,chr2,101737014,101737514,6.79001E-11,TBC1D8,1,orangered3
chr12:92932878-92933378,chr12,92932878,92933378,6.89911E-11,BTG1,1,orangered3
chr2:208195545-208196045,chr2,208195545,208196045,7.11542E-11,FZD5,1,orangered3
chr2:220546613-220547113,chr2,220546613,220547113,7.2266E-11,CHPF,1,orangered3
chr5:60348678-60349178,chr5,60348678,60349178,7.29849E-11,SMIM15,1,orangered3
chr4:106542011-106542511,chr4,106542011,106542511,7.32135E-11,GSTCD,1,orangered3
chr16:69210265-69210765,chr16,69210265,69210765,7.33018E-11,"UTP4, SNTB2, PDF, COG8",4,orangered3
chr8:74473168-74473668,chr8,74473168,74473668,7.63461E-11,RDH10,1,orangered3
chr1:20193215-20193715,chr1,20193215,20193715,7.79013E-11,PLA2G2A,1,orangered3
chr17:76333425-76333925,chr17,76333425,76333925,7.91828E-11,"LINC01993, SOCS3, LOC101928674",3,orangered3
chr20:61518790-61519290,chr20,61518790,61519290,7.9783E-11,"GATA5, YTHDF1",2,orangered3
chr15:76129225-76129725,chr15,76129225,76129725,8.05318E-11,SNX33,1,orangered3
chr10:128086559-128087059,chr10,128086559,128087059,8.14754E-11,ADAM12,1,orangered3
chr13:53565648-53566148,chr13,53565648,53566148,8.28275E-11,SUGT1,1,orangered3
chr6:82498328-82498828,chr6,82498328,82498828,8.32282E-11,TENT5A,1,orangered3
chr13:46928859-46929359,chr13,46928859,46929359,8.48968E-11,"RUBCNL, LRCH1",2,orangered3
chr19:52598895-52599395,chr19,52598895,52599395,8.7716E-11,ZNF841,1,orangered3
chr2:112253183-112253683,chr2,112253183,112253683,8.81931E-11,MIR4435-2HG,1,orangered3
chr2:75059273-75059773,chr2,75059273,75059773,8.93185E-11,"LOXL3, HK2",2,orangered3
chr17:41246117-41246617,chr17,41246117,41246617,9.11293E-11,"ARL4D, ETV4",2,orangered3
chr14:52083636-52084136,chr14,52083636,52084136,9.44284E-11,"TMX1, FRMD6",2,orangered3
chr4:153894243-153894743,chr4,153894243,153894743,9.64251E-11,FHDC1,1,orangered3
chr22:27603634-27604134,chr22,27603634,27604134,9.84797E-11,LINC01638,1,orangered3
chr19:54523285-54523785,chr19,54523285,54523785,1.02459E-10,"NLRP12, MYADM, LILRA5",3,orangered3
chrX:19728148-19728648,chrX,19728148,19728648,1.04805E-10,EIF1AX,1,orangered3
chr6:52376998-52377498,chr6,52376998,52377498,1.05165E-10,TRAM2,1,orangered3
chr4:58115231-58115731,chr4,58115231,58115731,1.06234E-10,REST,1,orangered3
chr17:44491884-44492384,chr17,44491884,44492384,1.08829E-10,"ARL17B, ARL17A",2,orangered3
chr1:151961914-151962414,chr1,151961914,151962414,1.09174E-10,S100A10,1,orangered3
chr6:43676912-43677412,chr6,43676912,43677412,1.09877E-10,"MRPS18A, VEGFA",2,orangered3
chr14:55981545-55982045,chr14,55981545,55982045,1.10528E-10,"MAPK1IP1L, FBXO34, KTN1-AS1",3,orangered3
chr14:104060623-104061123,chr14,104060623,104061123,1.11418E-10,"EIF5, MARK3, BAG5, COA8",4,orangered3
chr16:84652182-84652682,chr16,84652182,84652682,1.11516E-10,COTL1,1,orangered3
chr9:72386915-72387415,chr9,72386915,72387415,1.14394E-10,PTAR1,1,orangered3
chr19:57752771-57753271,chr19,57752771,57753271,1.16432E-10,"ZNF264, ZNF805, ZNF543, ZNF304, ZNF548, ZNF17, ZNF749, ZNF772, ZNF419, ZNF416, ZNF134, ZNF211, ZNF671",13,orangered3
chr8:134143011-134143511,chr8,134143011,134143511,1.17001E-10,CCN4,1,orangered3
chr5:173191349-173191849,chr5,173191349,173191849,1.17151E-10,STC2,1,orangered3
chr3:98625009-98625509,chr3,98625009,98625509,1.1718E-10,DCBLD2,1,orangered3
chr1:9335522-9336022,chr1,9335522,9336022,1.17908E-10,LNCTAM34A,1,orangered3
chr7:134165428-134165928,chr7,134165428,134165928,1.18671E-10,CALD1,1,orangered3
chr14:53511242-53511742,chr14,53511242,53511742,1.20898E-10,FERMT2,1,orangered3
chr8:129071027-129071527,chr8,129071027,129071527,1.21956E-10,"MYC, PVT1",2,orangered3
chr3:190104041-190104541,chr3,190104041,190104541,1.22396E-10,IL1RAP,1,orangered3
chr11:66185555-66186055,chr11,66185555,66186055,1.22577E-10,RIN1,1,orangered3
chr14:72722707-72723207,chr14,72722707,72723207,1.25683E-10,RGS6,1,orangered3
chr7:32540576-32541076,chr7,32540576,32541076,1.33429E-10,"RP9P, FKBP9",2,orangered3
chr8:22516168-22516668,chr8,22516168,22516668,1.39288E-10,SLC39A14,1,orangered3
chr14:96712706-96713206,chr14,96712706,96713206,1.3933E-10,BDKRB2,1,orangered3
chr14:51422392-51422892,chr14,51422392,51422892,1.39746E-10,"SAV1, PYGL, TRIM9, TMX1",4,orangered3
chr14:72530694-72531194,chr14,72530694,72531194,1.4023E-10,RGS6,1,orangered3
chr14:99997450-99997950,chr14,99997450,99997950,1.40234E-10,CCNK,1,orangered3
chr17:45006736-45007236,chr17,45006736,45007236,1.43129E-10,ITGB3,1,orangered3
chr13:21567841-21568341,chr13,21567841,21568341,1.44259E-10,LATS2,1,orangered3
chr19:47004014-47004514,chr19,47004014,47004514,1.4549E-10,"PPP5C, PPP5D1, PRKD2, FKRP, STRN4",5,orangered3
chr11:128337405-128337905,chr11,128337405,128337905,1.4595E-10,"ETS1, C11orf45",2,orangered3
chr1:224914448-224914948,chr1,224914448,224914948,1.47118E-10,CNIH3,1,orangered3
chr9:107765781-107766281,chr9,107765781,107766281,1.4913E-10,ABCA1,1,orangered3
chr21:36260203-36260703,chr21,36260203,36260703,1.55295E-10,"RCAN1, RUNX1",2,orangered3
chr16:53086481-53086981,chr16,53086481,53086981,1.58403E-10,LOC105371267,1,orangered3
chr9:101096472-101096972,chr9,101096472,101096972,1.59121E-10,GABBR2,1,orangered3
chr7:23286089-23286589,chr7,23286089,23286589,1.62322E-10,GPNMB,1,orangered3
chr14:95630784-95631284,chr14,95630784,95631284,1.64694E-10,DICER1,1,orangered3
chr9:138048278-138048778,chr9,138048278,138048778,1.65229E-10,MRPS2,1,orangered3
chr12:12111501-12112001,chr12,12111501,12112001,1.67489E-10,ETV6,1,orangered3
chr14:64763215-64763715,chr14,64763215,64763715,1.72796E-10,ZBTB25,1,orangered3
chr19:8432195-8432695,chr19,8432195,8432695,1.83271E-10,"SNAPC2, ANGPTL4",2,orangered3
chr10:75725747-75726247,chr10,75725747,75726247,1.86228E-10,"FUT11, C10orf55",2,orangered3
chr22:28114120-28114620,chr22,28114120,28114620,1.87346E-10,MN1,1,orangered3
chr17:37385495-37385995,chr17,37385495,37385995,1.87851E-10,MED1,1,orangered3
chr15:52018441-52018941,chr15,52018441,52018941,1.88861E-10,"TMOD3, LEO1",2,orangered3
chr14:90422576-90423076,chr14,90422576,90423076,1.9147E-10,PSMC1,1,orangered3
chr22:31113248-31113748,chr22,31113248,31113748,1.93041E-10,"LOC91370, LIF",2,orangered3
chr6:111559590-111560090,chr6,111559590,111560090,1.94271E-10,SLC16A10,1,orangered3
chr17:80556427-80556927,chr17,80556427,80556927,2.01473E-10,"SLC16A3, WDR45B",2,orangered3
chr10:104615647-104616147,chr10,104615647,104616147,2.01748E-10,NFKB2,1,orangered3
chr19:51399807-51400307,chr19,51399807,51400307,2.03459E-10,KLKP1,1,orangered3
chr3:152776171-152776671,chr3,152776171,152776671,2.082E-10,RAP2B,1,orangered3
chr19:39182406-39182906,chr19,39182406,39182906,2.09378E-10,"PSMD8, SPRED3, ACTN4, CAPN12",4,orangered3
chr14:71610038-71610538,chr14,71610038,71610538,2.24666E-10,SIPA1L1,1,orangered3
chr4:114276826-114277326,chr4,114276826,114277326,2.32802E-10,CAMK2D,1,orangered3
chr1:224915444-224915944,chr1,224915444,224915944,2.35622E-10,"WDR26, CNIH3",2,orangered3
chr16:1408146-1408646,chr16,1408146,1408646,2.44479E-10,CACNA1H,1,orangered3
chr11:65149664-65150164,chr11,65149664,65150164,2.44956E-10,SLC25A45,1,orangered3
chr17:35848828-35849328,chr17,35848828,35849328,2.4508E-10,DUSP14,1,orangered3
chr6:52793996-52794496,chr6,52793996,52794496,2.46047E-10,LOC730101,1,orangered3
chr16:474211-474711,chr16,474211,474711,2.50656E-10,"RHBDF1, NME4, RAB11FIP3, METTL26",4,orangered3
chr7:73050621-73051121,chr7,73050621,73051121,2.63974E-10,TBL2,1,orangered3
chr1:8151131-8151631,chr1,8151131,8151631,2.66786E-10,ERRFI1,1,orangered3
chr19:56602520-56603020,chr19,56602520,56603020,2.78235E-10,"CCDC106, EPN1",2,orangered3
chr14:81769550-81770050,chr14,81769550,81770050,2.78841E-10,SEL1L,1,orangered3
chr3:169478189-169478689,chr3,169478189,169478689,2.81467E-10,MYNN,1,orangered3
chr19:34965923-34966423,chr19,34965923,34966423,2.84139E-10,"GPI, WTIP, ZNF181, ZNF792",4,orangered3
chr19:15360671-15361171,chr19,15360671,15361171,2.86288E-10,"SYDE1, NOTCH3, BRD4, WIZ",4,orangered3
chr19:1225430-1225930,chr19,1225430,1225930,2.86288E-10,"SBNO2, CBARP",2,orangered3
chr3:194247823-194248323,chr3,194247823,194248323,2.87404E-10,HES1,1,orangered3
chr12:76054511-76055011,chr12,76054511,76055011,2.94963E-10,KRR1,1,orangered3
chr7:1552890-1553390,chr7,1552890,1553390,3.04173E-10,MICALL2,1,orangered3
chr11:10330678-10331178,chr11,10330678,10331178,3.09218E-10,ADM,1,orangered3
chr1:172902918-172903418,chr1,172902918,172903418,3.11012E-10,SUCO,1,orangered3
chr19:57078611-57079111,chr19,57078611,57079111,3.26987E-10,ZNF470,1,orangered3
chr19:57813301-57813801,chr19,57813301,57813801,3.41509E-10,"ZNF264, ZNF805, ZNF543, ZNF304, TRAPPC2B, ZNF548, ZNF17, ZNF749, ZNF772, ZNF419, ZNF773, ZNF416, ZIK1, ZNF530, ZNF134, ZNF211, ZNF551, ZNF671, ZNF586",19,orangered3
chr15:51520532-51521032,chr15,51520532,51521032,3.41648E-10,SPPL2A,1,orangered3
chr19:39143007-39143507,chr19,39143007,39143507,3.52403E-10,"PSMD8, GGN, ACTN4, ECH1, MRPS12",5,orangered3
chr7:106249848-106250348,chr7,106249848,106250348,3.60663E-10,NAMPT,1,orangered3
chr13:46915060-46915560,chr13,46915060,46915560,3.63948E-10,"RUBCNL, LRCH1",2,orangered3
chr14:100220760-100221260,chr14,100220760,100221260,3.64201E-10,"YY1, CCNK",2,orangered3
chr19:32842121-32842621,chr19,32842121,32842621,3.6602E-10,DPY19L3,1,orangered3
chr14:75083138-75083638,chr14,75083138,75083638,3.669E-10,"ABCD4, FCF1",2,orangered3
chr14:72674258-72674758,chr14,72674258,72674758,3.67077E-10,RGS6,1,orangered3
chr9:117459401-117459901,chr9,117459401,117459901,3.73543E-10,TNC,1,orangered3
chr2:114575999-114576499,chr2,114575999,114576499,3.82234E-10,SLC35F5,1,orangered3
chr19:15488596-15489096,chr19,15488596,15489096,3.86635E-10,"SYDE1, NOTCH3, BRD4",3,orangered3
chr14:71906397-71906897,chr14,71906397,71906897,3.88654E-10,"SIPA1L1, RGS6",2,orangered3
chr9:117871661-117872161,chr9,117871661,117872161,3.89161E-10,TNC,1,orangered3
